ticker,segment,T,mw,stat,reject_90,reject_95,reject_99,n_ep_90,n_ep_95,n_ep_99,n_ep,reject,period
ASML,1. Semiconductor Equipment,876,62,1.9961929785001453,False,False,False,2,1,0,1,False,A1_post_ChatGPT
AMAT,1. Semiconductor Equipment,876,62,2.2177097786931346,True,False,False,1,1,0,1,False,A1_post_ChatGPT
LRCX,1. Semiconductor Equipment,876,62,3.7903955088180217,True,True,True,2,1,1,1,True,A1_post_ChatGPT
NVDA,2. Chip Design (AI accelerators),876,62,3.2875713047085333,True,True,True,2,2,1,2,True,A1_post_ChatGPT
AMD,2. Chip Design (AI accelerators),876,62,1.7971523283167898,False,False,False,2,1,0,1,False,A1_post_ChatGPT
INTC,2. Chip Design (AI accelerators),876,62,3.894274122085147,True,True,True,1,0,0,0,True,A1_post_ChatGPT
AVGO,2. Chip Design (AI accelerators),876,62,3.2038100211495975,True,True,True,2,1,0,1,True,A1_post_ChatGPT
MRVL,2. Chip Design (AI accelerators),876,62,3.849761020532505,True,True,True,0,0,0,0,True,A1_post_ChatGPT
MU,3. Memory (HBM-relevant),876,62,5.982162603445862,True,True,True,2,2,2,2,True,A1_post_ChatGPT
TSM,4. Foundry (leading-edge),876,62,2.3652235752360324,True,True,False,2,2,0,2,True,A1_post_ChatGPT
WDC,5. Storage (non-HBM control),876,62,6.316085708150592,True,True,True,2,2,1,2,True,A1_post_ChatGPT
STX,5. Storage (non-HBM control),876,62,5.961306757918635,True,True,True,1,1,1,1,True,A1_post_ChatGPT
ANET,6. Data-Centre Networking & Optical,876,62,1.3926881573921421,False,False,False,2,0,0,0,False,A1_post_ChatGPT
CSCO,6. Data-Centre Networking & Optical,876,62,1.2497290964338033,False,False,False,2,2,0,2,False,A1_post_ChatGPT
NOK,6. Data-Centre Networking & Optical,876,62,5.082493739813766,True,True,True,1,0,0,0,True,A1_post_ChatGPT
CIEN,6. Data-Centre Networking & Optical,876,62,5.417138931712929,True,True,True,2,2,1,2,True,A1_post_ChatGPT
EQIX,7. Data-Centre REITs (colocation & build-out),876,62,2.321409357267581,True,False,False,0,0,0,0,False,A1_post_ChatGPT
DLR,7. Data-Centre REITs (colocation & build-out),876,62,1.1136784685982544,False,False,False,0,0,0,0,False,A1_post_ChatGPT
MSFT,8. Hyperscale Cloud,876,62,0.8059673232617971,False,False,False,1,0,0,0,False,A1_post_ChatGPT
AMZN,8. Hyperscale Cloud,876,62,0.6580973357821032,False,False,False,0,0,0,0,False,A1_post_ChatGPT
GOOGL,8. Hyperscale Cloud,876,62,2.589120018552365,True,True,False,1,1,1,1,True,A1_post_ChatGPT
META,8. Hyperscale Cloud,876,62,2.1399041557395115,True,False,False,1,0,0,0,False,A1_post_ChatGPT
ORCL,8. Hyperscale Cloud,876,62,3.494460995247394,True,True,True,2,1,0,1,True,A1_post_ChatGPT
IBM,9. Enterprise AI / Hybrid Cloud,876,62,2.6908885137199205,True,True,False,2,3,1,3,True,A1_post_ChatGPT
PLTR,10. Application & AI Platform Software,876,62,5.2699976357218405,True,True,True,1,1,2,1,True,A1_post_ChatGPT
SNOW,10. Application & AI Platform Software,876,62,1.6006092739899627,False,False,False,0,0,0,0,False,A1_post_ChatGPT
DDOG,10. Application & AI Platform Software,876,62,1.6584151448474702,False,False,False,0,0,0,0,False,A1_post_ChatGPT
AI,10. Application & AI Platform Software,876,62,3.7461868526392923,True,True,True,1,0,0,0,True,A1_post_ChatGPT
