ticker,segment,stat,cv,reject,n_ep,config,alpha
ASML,1. Semiconductor Equipment,1.9961935063779255,2.138903366862315,False,3,A3_alpha90,0.9
AMAT,1. Semiconductor Equipment,2.217708473470351,2.138903366862315,True,3,A3_alpha90,0.9
LRCX,1. Semiconductor Equipment,4.522694891777681,2.138903366862315,True,4,A3_alpha90,0.9
NVDA,2. Chip Design (AI accelerators),6.340155291518158,2.138903366862315,True,5,A3_alpha90,0.9
AMD,2. Chip Design (AI accelerators),2.9018145370953694,2.138903366862315,True,2,A3_alpha90,0.9
INTC,2. Chip Design (AI accelerators),3.894274122085147,2.138903366862315,True,1,A3_alpha90,0.9
AVGO,2. Chip Design (AI accelerators),4.0022831668335215,2.138903366862315,True,2,A3_alpha90,0.9
MRVL,2. Chip Design (AI accelerators),3.602804832793447,2.138903366862315,True,1,A3_alpha90,0.9
MU,3. Memory (HBM-relevant),7.8633776042172165,2.138903366862315,True,3,A3_alpha90,0.9
TSM,4. Foundry (leading-edge),2.9229963187959465,2.138903366862315,True,4,A3_alpha90,0.9
WDC,5. Storage (non-HBM control),8.494036052944061,2.138903366862315,True,3,A3_alpha90,0.9
STX,5. Storage (non-HBM control),7.94354458249899,2.138903366862315,True,3,A3_alpha90,0.9
ANET,6. Data-Centre Networking & Optical,3.0351797639065077,2.138903366862315,True,3,A3_alpha90,0.9
CSCO,6. Data-Centre Networking & Optical,1.37308800679829,2.138903366862315,False,3,A3_alpha90,0.9
NOK,6. Data-Centre Networking & Optical,5.1410309300239,2.138903366862315,True,0,A3_alpha90,0.9
CIEN,6. Data-Centre Networking & Optical,7.936650190042857,2.138903366862315,True,2,A3_alpha90,0.9
EQIX,7. Data-Centre REITs (colocation & build-out),1.5452993927061522,2.138903366862315,False,0,A3_alpha90,0.9
DLR,7. Data-Centre REITs (colocation & build-out),1.1136786853565857,2.138903366862315,False,0,A3_alpha90,0.9
MSFT,8. Hyperscale Cloud,2.568293304112563,2.138903366862315,True,1,A3_alpha90,0.9
AMZN,8. Hyperscale Cloud,2.317856612653562,2.138903366862315,True,1,A3_alpha90,0.9
