ticker,segment,T,mw,stat,reject_90,reject_95,reject_99,n_ep_90,n_ep_95,n_ep_99,n_ep,reject,mw_scale,config
ASML,1. Semiconductor Equipment,1590,87,1.9961929785001453,False,False,False,3,1,0,1,False,1.0,A4_mw100
AMAT,1. Semiconductor Equipment,1590,87,2.2177097786931346,True,False,False,3,2,2,2,False,1.0,A4_mw100
LRCX,1. Semiconductor Equipment,1590,87,4.519077208552458,True,True,True,3,2,1,2,True,1.0,A4_mw100
NVDA,2. Chip Design (AI accelerators),1590,87,5.663879320096858,True,True,True,3,4,1,4,True,1.0,A4_mw100
AMD,2. Chip Design (AI accelerators),1590,87,2.9216903834085124,True,True,True,1,1,0,1,True,1.0,A4_mw100
INTC,2. Chip Design (AI accelerators),1590,87,3.894274122085147,True,True,True,1,0,0,0,True,1.0,A4_mw100
AVGO,2. Chip Design (AI accelerators),1590,87,3.5864657292731854,True,True,True,3,3,2,3,True,1.0,A4_mw100
MRVL,2. Chip Design (AI accelerators),1590,87,3.849761020532505,True,True,True,1,0,0,0,True,1.0,A4_mw100
MU,3. Memory (HBM-relevant),1590,87,7.564163227523366,True,True,True,3,3,3,3,True,1.0,A4_mw100
TSM,4. Foundry (leading-edge),1590,87,2.86518559837251,True,True,True,3,4,1,4,True,1.0,A4_mw100
WDC,5. Storage (non-HBM control),1590,87,8.104057933556355,True,True,True,3,2,1,2,True,1.0,A4_mw100
STX,5. Storage (non-HBM control),1590,87,7.408187913658733,True,True,True,2,2,1,2,True,1.0,A4_mw100
ANET,6. Data-Centre Networking & Optical,1590,87,3.0351797639065126,True,True,True,3,2,2,2,True,1.0,A4_mw100
CSCO,6. Data-Centre Networking & Optical,1590,87,1.2759174629841665,False,False,False,3,2,0,2,False,1.0,A4_mw100
NOK,6. Data-Centre Networking & Optical,1590,87,5.141030846638883,True,True,True,0,0,0,0,True,1.0,A4_mw100
CIEN,6. Data-Centre Networking & Optical,1590,87,7.404115152757711,True,True,True,2,1,1,1,True,1.0,A4_mw100
EQIX,7. Data-Centre REITs (colocation & build-out),1590,87,1.5452999095422595,False,False,False,0,0,0,0,False,1.0,A4_mw100
DLR,7. Data-Centre REITs (colocation & build-out),1590,87,1.1136784685982544,False,False,False,0,0,0,0,False,1.0,A4_mw100
MSFT,8. Hyperscale Cloud,1590,87,0.8411026712906521,False,False,False,2,0,0,0,False,1.0,A4_mw100
AMZN,8. Hyperscale Cloud,1590,87,1.1075967744547284,False,False,False,0,0,0,0,False,1.0,A4_mw100
GOOGL,8. Hyperscale Cloud,1590,87,2.7463505388013743,True,True,False,2,2,1,2,True,1.0,A4_mw100
META,8. Hyperscale Cloud,1590,87,2.1399041557395115,False,False,False,2,3,0,3,False,1.0,A4_mw100
ORCL,8. Hyperscale Cloud,1590,87,3.494460995247394,True,True,True,4,4,1,4,True,1.0,A4_mw100
IBM,9. Enterprise AI / Hybrid Cloud,1590,87,2.6908885137199205,True,True,False,2,2,2,2,True,1.0,A4_mw100
PLTR,10. Application & AI Platform Software,1402,81,6.718237854392863,True,True,True,1,1,1,1,True,1.0,A4_mw100
