ticker,segment,T,mw,stat,reject_90,reject_95,reject_99,n_ep_90,n_ep_95,n_ep_99,n_ep,reject,series,config
ASML,1. Semiconductor Equipment,1590,87,1.436434578809139,False,False,False,1,0,0,0,False,log,A5_logprices
AMAT,1. Semiconductor Equipment,1590,87,1.3982297067134,False,False,False,2,1,0,1,False,log,A5_logprices
LRCX,1. Semiconductor Equipment,1590,87,1.5045638834119024,False,False,False,2,1,0,1,False,log,A5_logprices
NVDA,2. Chip Design (AI accelerators),1590,87,2.1983681436761,True,False,False,3,1,0,1,False,log,A5_logprices
AMD,2. Chip Design (AI accelerators),1590,87,1.9982509021904507,False,False,False,0,0,0,0,False,log,A5_logprices
INTC,2. Chip Design (AI accelerators),1590,87,1.5446213050579658,False,False,False,0,0,0,0,False,log,A5_logprices
AVGO,2. Chip Design (AI accelerators),1590,87,2.195337370100373,True,False,False,3,1,0,1,False,log,A5_logprices
MRVL,2. Chip Design (AI accelerators),1590,87,2.1290401898291815,False,False,False,0,0,0,0,False,log,A5_logprices
MU,3. Memory (HBM-relevant),1590,87,1.8294628598159528,False,False,False,3,3,1,3,False,log,A5_logprices
TSM,4. Foundry (leading-edge),1590,87,1.901637599743324,False,False,False,3,0,0,0,False,log,A5_logprices
WDC,5. Storage (non-HBM control),1590,87,2.759596728871307,True,True,False,3,1,1,1,True,log,A5_logprices
STX,5. Storage (non-HBM control),1590,87,2.755315257174246,True,True,False,2,2,1,2,True,log,A5_logprices
ANET,6. Data-Centre Networking & Optical,1590,87,2.5214251030410666,True,True,False,1,0,0,0,True,log,A5_logprices
CSCO,6. Data-Centre Networking & Optical,1590,87,0.7655700116644533,False,False,False,1,0,0,0,False,log,A5_logprices
NOK,6. Data-Centre Networking & Optical,1590,87,3.032691472885368,True,True,True,0,0,0,0,True,log,A5_logprices
CIEN,6. Data-Centre Networking & Optical,1590,87,2.82361730715809,True,True,False,1,1,1,1,True,log,A5_logprices
EQIX,7. Data-Centre REITs (colocation & build-out),1590,87,1.108027677527512,False,False,False,0,0,0,0,False,log,A5_logprices
DLR,7. Data-Centre REITs (colocation & build-out),1590,87,1.3696422272668285,False,False,False,0,0,0,0,False,log,A5_logprices
MSFT,8. Hyperscale Cloud,1590,87,1.123597773410643,False,False,False,1,0,0,0,False,log,A5_logprices
AMZN,8. Hyperscale Cloud,1590,87,0.833238385628233,False,False,False,0,0,0,0,False,log,A5_logprices
GOOGL,8. Hyperscale Cloud,1590,87,1.416382140286666,False,False,False,2,1,0,1,False,log,A5_logprices
META,8. Hyperscale Cloud,1590,87,1.6784097407077154,False,False,False,1,0,0,0,False,log,A5_logprices
ORCL,8. Hyperscale Cloud,1590,87,2.7025747733775303,True,True,False,4,1,0,1,True,log,A5_logprices
IBM,9. Enterprise AI / Hybrid Cloud,1590,87,2.1018690475614585,False,False,False,3,2,0,2,False,log,A5_logprices
PLTR,10. Application & AI Platform Software,1402,81,1.7426564263926736,False,False,False,2,2,1,2,False,log,A5_logprices
SNOW,10. Application & AI Platform Software,1412,81,1.5817249035094403,False,False,False,1,1,0,1,False,log,A5_logprices
DDOG,10. Application & AI Platform Software,1590,87,1.1658836388379041,False,False,False,2,0,0,0,False,log,A5_logprices
AI,10. Application & AI Platform Software,1353,79,2.4344535968243943,True,True,False,1,1,0,1,True,log,A5_logprices
QCOM,11. Edge AI & Devices,1590,87,1.2058066197240953,False,False,False,1,1,0,1,False,log,A5_logprices
AAPL,11. Edge AI & Devices,1590,87,2.041315378065363,False,False,False,0,0,0,0,False,log,A5_logprices
TSLA,11. Edge AI & Devices,1590,87,3.73512981804004,True,True,True,0,0,0,0,True,log,A5_logprices
CRWV,P. Specialised AI Cloud (neoclouds),274,32,1.7713753279257163,False,False,False,0,0,0,0,False,log,A5_logprices
NBIS,P. Specialised AI Cloud (neoclouds),382,39,0.8595029184526062,False,False,False,1,0,0,0,False,log,A5_logprices
CEG,P. Power & Grid (data-centre electricity),1074,69,2.3673147161688677,True,True,False,2,2,1,2,True,log,A5_logprices
