ticker,segment,has_ep,reject,n_ep,config,min_up,min_down
ASML,1. Semiconductor Equipment,False,False,0,B2_up42_dn42,42,42
AMAT,1. Semiconductor Equipment,False,False,0,B2_up42_dn42,42,42
LRCX,1. Semiconductor Equipment,True,True,1,B2_up42_dn42,42,42
NVDA,2. Chip Design (AI accelerators),True,True,1,B2_up42_dn42,42,42
AMD,2. Chip Design (AI accelerators),False,False,0,B2_up42_dn42,42,42
INTC,2. Chip Design (AI accelerators),False,False,0,B2_up42_dn42,42,42
AVGO,2. Chip Design (AI accelerators),True,True,1,B2_up42_dn42,42,42
MRVL,2. Chip Design (AI accelerators),False,False,0,B2_up42_dn42,42,42
MU,3. Memory (HBM-relevant),True,True,1,B2_up42_dn42,42,42
TSM,4. Foundry (leading-edge),True,True,1,B2_up42_dn42,42,42
WDC,5. Storage (non-HBM control),True,True,1,B2_up42_dn42,42,42
STX,5. Storage (non-HBM control),True,True,1,B2_up42_dn42,42,42
ANET,6. Data-Centre Networking & Optical,False,False,0,B2_up42_dn42,42,42
CSCO,6. Data-Centre Networking & Optical,False,False,0,B2_up42_dn42,42,42
NOK,6. Data-Centre Networking & Optical,False,False,0,B2_up42_dn42,42,42
CIEN,6. Data-Centre Networking & Optical,True,True,1,B2_up42_dn42,42,42
EQIX,7. Data-Centre REITs (colocation & build-out),False,False,0,B2_up42_dn42,42,42
DLR,7. Data-Centre REITs (colocation & build-out),False,False,0,B2_up42_dn42,42,42
MSFT,8. Hyperscale Cloud,False,False,0,B2_up42_dn42,42,42
AMZN,8. Hyperscale Cloud,False,False,0,B2_up42_dn42,42,42
GOOGL,8. Hyperscale Cloud,True,True,1,B2_up42_dn42,42,42
META,8. Hyperscale Cloud,False,False,0,B2_up42_dn42,42,42
ORCL,8. Hyperscale Cloud,True,True,1,B2_up42_dn42,42,42
IBM,9. Enterprise AI / Hybrid Cloud,False,False,0,B2_up42_dn42,42,42
PLTR,10. Application & AI Platform Software,True,True,1,B2_up42_dn42,42,42
SNOW,10. Application & AI Platform Software,False,False,0,B2_up42_dn42,42,42
DDOG,10. Application & AI Platform Software,False,False,0,B2_up42_dn42,42,42
AI,10. Application & AI Platform Software,False,False,0,B2_up42_dn42,42,42
QCOM,11. Edge AI & Devices,False,False,0,B2_up42_dn42,42,42
AAPL,11. Edge AI & Devices,False,False,0,B2_up42_dn42,42,42
TSLA,11. Edge AI & Devices,False,False,0,B2_up42_dn42,42,42
CRWV,P. Specialised AI Cloud (neoclouds),False,False,0,B2_up42_dn42,42,42
NBIS,P. Specialised AI Cloud (neoclouds),False,False,0,B2_up42_dn42,42,42
CEG,P. Power & Grid (data-centre electricity),True,True,1,B2_up42_dn42,42,42
VST,P. Power & Grid (data-centre electricity),True,True,1,B2_up42_dn42,42,42
ASX,P. Advanced Packaging (pure-play),True,True,1,B2_up42_dn42,42,42
USO,C. AI-relevant: Energy (DC power proxy),False,False,0,B2_up42_dn42,42,42
UNG,C. AI-relevant: Energy (DC power proxy),False,False,0,B2_up42_dn42,42,42
BNO,C. AI-relevant: Energy (DC power proxy),False,False,0,B2_up42_dn42,42,42
JJC,C. AI-relevant: Industrial metals (hardware inputs),False,False,0,B2_up42_dn42,42,42
PPLT,C. AI-relevant: Industrial metals (hardware inputs),False,False,0,B2_up42_dn42,42,42
PALL,C. AI-relevant: Industrial metals (hardware inputs),False,False,0,B2_up42_dn42,42,42
GLD,C. Confound: Precious metals (monetary),True,True,1,B2_up42_dn42,42,42
SLV,C. Confound: Precious metals (monetary),True,True,1,B2_up42_dn42,42,42
DBA,C. Placebo: Agriculture,False,False,0,B2_up42_dn42,42,42
WEAT,C. Placebo: Agriculture,False,False,0,B2_up42_dn42,42,42
CORN,C. Placebo: Agriculture,False,False,0,B2_up42_dn42,42,42
SOYB,C. Placebo: Agriculture,False,False,0,B2_up42_dn42,42,42
COW,C. Placebo: Livestock,False,False,0,B2_up42_dn42,42,42
DBC,C. Benchmark: Broad commodity indices,False,False,0,B2_up42_dn42,42,42
GSG,C. Benchmark: Broad commodity indices,False,False,0,B2_up42_dn42,42,42
PDBC,C. Benchmark: Broad commodity indices,False,False,0,B2_up42_dn42,42,42
^IXIC,0. Index / Control,False,False,0,B2_up42_dn42,42,42
^SOX,0. Index / Control,False,False,0,B2_up42_dn42,42,42
^GSPC,0. Index / Control,False,False,0,B2_up42_dn42,42,42
