Ticker,Segment,T,ADF stat,ADF decision,PP stat,PP decision,KPSS stat,KPSS decision,Implied I(d)
ASML,1. Semiconductor Equipment,1842,0.00,Fail to reject,-0.29,Fail to reject,4.808,Reject,I(1)
AMAT,1. Semiconductor Equipment,1842,2.04,Fail to reject,1.08,Fail to reject,4.969,Reject,I(1)
LRCX,1. Semiconductor Equipment,1842,3.11,Fail to reject,2.41,Fail to reject,4.161,Reject,I(1)
NVDA,2. Chip Design (AI accelerators),1842,1.07,Fail to reject,0.77,Fail to reject,5.426,Reject,I(1)
AMD,2. Chip Design (AI accelerators),1842,0.54,Fail to reject,1.03,Fail to reject,4.774,Reject,I(1)
INTC,2. Chip Design (AI accelerators),1842,-0.41,Fail to reject,0.25,Fail to reject,2.918,Reject,I(1)
AVGO,2. Chip Design (AI accelerators),1842,1.98,Fail to reject,1.61,Fail to reject,5.127,Reject,I(1)
MRVL,2. Chip Design (AI accelerators),1842,0.35,Fail to reject,0.27,Fail to reject,4.639,Reject,I(1)
MU,3. Memory (HBM-relevant),1842,4.36,Fail to reject,4.44,Fail to reject,2.846,Reject,I(1)
TSM,4. Foundry (leading-edge),1842,2.64,Fail to reject,2.29,Fail to reject,4.685,Reject,I(1)
WDC,5. Storage (non-HBM control),1842,6.65,Fail to reject,9.19,Fail to reject,1.994,Reject,I(1)
STX,5. Storage (non-HBM control),1842,7.07,Fail to reject,8.57,Fail to reject,2.988,Reject,I(1)
ANET,6. Data-Centre Networking & Optical,1842,1.13,Fail to reject,0.85,Fail to reject,5.636,Reject,I(1)
CSCO,6. Data-Centre Networking & Optical,1842,1.31,Fail to reject,0.73,Fail to reject,4.157,Reject,I(1)
NOK,6. Data-Centre Networking & Optical,1842,3.54,Fail to reject,3.47,Fail to reject,1.116,Reject,I(1)
CIEN,6. Data-Centre Networking & Optical,1842,8.30,Fail to reject,9.57,Fail to reject,2.137,Reject,I(1)
EQIX,7. Data-Centre REITs (colocation & build-out),1842,-1.40,Fail to reject,-1.85,Fail to reject,4.698,Reject,I(1)
DLR,7. Data-Centre REITs (colocation & build-out),1842,-0.75,Fail to reject,-1.20,Fail to reject,3.765,Reject,I(1)
MSFT,8. Hyperscale Cloud,1842,-1.47,Fail to reject,-1.58,Fail to reject,6.023,Reject,I(1)
AMZN,8. Hyperscale Cloud,1842,-0.96,Fail to reject,-0.97,Fail to reject,3.832,Reject,I(1)
GOOGL,8. Hyperscale Cloud,1842,2.35,Fail to reject,2.72,Fail to reject,4.829,Reject,I(1)
META,8. Hyperscale Cloud,1842,-0.82,Fail to reject,-0.93,Fail to reject,4.684,Reject,I(1)
ORCL,8. Hyperscale Cloud,1842,-1.43,Fail to reject,-1.50,Fail to reject,5.182,Reject,I(1)
IBM,9. Enterprise AI / Hybrid Cloud,1842,-0.77,Fail to reject,-0.86,Fail to reject,5.329,Reject,I(1)
PLTR,10. Application & AI Platform Software,1402,0.07,Fail to reject,-0.29,Fail to reject,3.657,Reject,I(1)
SNOW,10. Application & AI Platform Software,1412,-2.19,Fail to reject,-2.53,Fail to reject,1.966,Reject,I(1)
DDOG,10. Application & AI Platform Software,1662,-2.68,Fail to reject,-2.77,Fail to reject,2.105,Reject,I(1)
AI,10. Application & AI Platform Software,1353,-5.46,Reject,-2.72,Fail to reject,2.200,Reject,I(1)*
QCOM,11. Edge AI & Devices,1842,-1.95,Fail to reject,-2.18,Fail to reject,4.317,Reject,I(1)
AAPL,11. Edge AI & Devices,1842,-0.92,Fail to reject,-0.96,Fail to reject,6.116,Reject,I(1)
