Ticker,Segment,T,ADF stat,ADF decision,PP stat,PP decision,KPSS stat,KPSS decision,Implied I(d)
ASML,1. Semiconductor Equipment,876,-0.47,Fail to reject,-0.62,Fail to reject,2.289,Reject,I(1)
AMAT,1. Semiconductor Equipment,876,1.52,Fail to reject,0.42,Fail to reject,2.743,Reject,I(1)
LRCX,1. Semiconductor Equipment,876,2.05,Fail to reject,1.31,Fail to reject,2.942,Reject,I(1)
NVDA,2. Chip Design (AI accelerators),876,-0.53,Fail to reject,-0.80,Fail to reject,4.519,Reject,I(1)
AMD,2. Chip Design (AI accelerators),876,0.73,Fail to reject,0.72,Fail to reject,2.556,Reject,I(1)
INTC,2. Chip Design (AI accelerators),876,1.35,Fail to reject,2.91,Fail to reject,0.557,Reject,I(1)
AVGO,2. Chip Design (AI accelerators),876,0.67,Fail to reject,0.17,Fail to reject,4.423,Reject,I(1)
MRVL,2. Chip Design (AI accelerators),876,0.29,Fail to reject,0.24,Fail to reject,2.771,Reject,I(1)
MU,3. Memory (HBM-relevant),876,2.51,Fail to reject,2.78,Fail to reject,2.663,Reject,I(1)
TSM,4. Foundry (leading-edge),876,1.52,Fail to reject,0.90,Fail to reject,4.224,Reject,I(1)
WDC,5. Storage (non-HBM control),876,4.46,Fail to reject,6.25,Fail to reject,2.605,Reject,I(1)
STX,5. Storage (non-HBM control),876,3.36,Fail to reject,5.81,Fail to reject,2.981,Reject,I(1)
ANET,6. Data-Centre Networking & Optical,876,-0.09,Fail to reject,-0.36,Fail to reject,4.351,Reject,I(1)
CSCO,6. Data-Centre Networking & Optical,876,1.72,Fail to reject,0.81,Fail to reject,3.937,Reject,I(1)
NOK,6. Data-Centre Networking & Optical,876,5.15,Fail to reject,5.21,Fail to reject,2.755,Reject,I(1)
CIEN,6. Data-Centre Networking & Optical,876,6.33,Fail to reject,5.88,Fail to reject,2.556,Reject,I(1)
EQIX,7. Data-Centre REITs (colocation & build-out),876,-1.64,Fail to reject,-1.71,Fail to reject,2.675,Reject,I(1)
