Ticker,Segment,T,ADF reject,PP reject,KPSS reject,SADF stat,SADF signal,GSADF stat,GSADF cv,GSADF reject,# Episodes,SV W1 episode,SV W2 episode,SV W1 collapse,SV W1 start,SV W2 collapse,SV W2 start
ASML,1. Semiconductor Equipment,1842,·,·,✓,1.67,✓,2.0,2.39,·,1,·,·,,,,
AMAT,1. Semiconductor Equipment,1842,·,·,✓,1.8,✓,2.22,2.39,·,2,·,·,,,,
LRCX,1. Semiconductor Equipment,1842,·,·,✓,4.49,✓,4.52,2.39,✓,3,✓,·,end_of_sample,2025-11-24,,
NVDA,2. Chip Design (AI accelerators),1842,·,·,✓,6.34,✓,6.34,2.39,✓,4,✓,·,post_bridge,2024-01-10,,
AMD,2. Chip Design (AI accelerators),1842,·,·,✓,1.34,·,2.9,2.39,✓,1,·,·,,,,
INTC,2. Chip Design (AI accelerators),1842,·,·,✓,0.32,·,3.89,2.39,✓,0,·,·,,,,
AVGO,2. Chip Design (AI accelerators),1842,·,·,✓,4.0,✓,4.0,2.39,✓,3,✓,·,post_bridge,2024-01-08,,
MRVL,2. Chip Design (AI accelerators),1842,·,·,✓,1.8,✓,3.6,2.39,✓,0,·,·,,,,
MU,3. Memory (HBM-relevant),1842,·,·,✓,7.83,✓,7.86,2.39,✓,3,✓,·,end_of_sample,2025-10-01,,
TSM,4. Foundry (leading-edge),1842,·,·,✓,2.92,✓,2.92,2.39,✓,5,✓,·,post_bridge,2025-09-09,,
WDC,5. Storage (non-HBM control),1842,·,·,✓,8.48,✓,8.49,2.39,✓,2,✓,·,end_of_sample,2025-08-25,,
STX,5. Storage (non-HBM control),1842,·,·,✓,7.94,✓,7.94,2.39,✓,2,✓,·,end_of_sample,2025-06-26,,
ANET,6. Data-Centre Networking & Optical,1842,·,·,✓,2.9,✓,3.04,2.39,✓,2,·,·,,,,
CSCO,6. Data-Centre Networking & Optical,1842,·,·,✓,0.63,·,1.37,2.39,·,1,·,·,,,,
NOK,6. Data-Centre Networking & Optical,1842,·,·,✓,3.23,✓,5.14,2.39,✓,0,·,·,,,,
CIEN,6. Data-Centre Networking & Optical,1842,·,·,✓,7.93,✓,7.94,2.39,✓,1,✓,·,end_of_sample,2025-09-08,,
EQIX,7. Data-Centre REITs (colocation & build-out),1842,·,·,✓,-0.84,·,1.55,2.39,·,0,·,·,,,,
DLR,7. Data-Centre REITs (colocation & build-out),1842,·,·,✓,-0.95,·,1.11,2.39,·,0,·,·,,,,
MSFT,8. Hyperscale Cloud,1842,·,·,✓,1.14,·,2.57,2.39,✓,0,·,·,,,,
AMZN,8. Hyperscale Cloud,1842,·,·,✓,2.01,✓,2.32,2.39,·,1,·,·,,,,
GOOGL,8. Hyperscale Cloud,1842,·,·,✓,2.73,✓,2.75,2.39,✓,2,✓,·,post_bridge,2025-10-13,,
META,8. Hyperscale Cloud,1842,·,·,✓,1.34,·,2.14,2.39,·,3,·,·,,,,
ORCL,8. Hyperscale Cloud,1842,·,·,✓,3.0,✓,3.49,2.39,✓,4,✓,·,post_bridge,2024-09-12,,
IBM,9. Enterprise AI / Hybrid Cloud,1842,·,·,✓,1.8,✓,2.69,2.44,✓,2,·,·,,,,
PLTR,10. Application & AI Platform Software,1402,·,·,✓,6.0,✓,6.72,2.37,✓,1,✓,·,post_bridge,2024-10-03,,
SNOW,10. Application & AI Platform Software,1412,·,·,✓,-0.91,·,0.97,2.36,·,0,·,·,,,,
DDOG,10. Application & AI Platform Software,1662,·,·,✓,1.59,✓,1.94,2.41,·,1,·,·,,,,
AI,10. Application & AI Platform Software,1353,✓,·,✓,-0.76,·,4.33,2.36,✓,0,·,·,,,,
QCOM,11. Edge AI & Devices,1842,·,·,✓,0.82,·,2.14,2.39,·,1,·,·,,,,
AAPL,11. Edge AI & Devices,1842,·,·,✓,2.38,✓,2.43,2.39,✓,1,·,·,,,,
TSLA,11. Edge AI & Devices,1842,·,·,✓,7.52,✓,7.83,2.39,✓,2,·,·,,,,
CRWV,P. Specialised AI Cloud (neoclouds),274,·,·,·,2.05,✓,3.31,1.84,✓,0,·,,,,,
NBIS,P. Specialised AI Cloud (neoclouds),382,·,·,✓,1.81,✓,1.85,2.18,·,1,·,,,,,
CEG,P. Power & Grid (data-centre electricity),1074,·,·,✓,2.54,✓,3.05,2.34,✓,2,✓,·,post_bridge,2024-02-27,,
VST,P. Power & Grid (data-centre electricity),1590,·,·,✓,8.49,✓,8.49,2.47,✓,2,✓,·,post_bridge,2024-01-25,,
ASX,P. Advanced Packaging (pure-play),1590,·,·,✓,6.13,✓,6.13,2.47,✓,2,✓,·,end_of_sample,2025-12-29,,
USO,C. AI-relevant: Energy (DC power proxy),1842,·,·,✓,2.07,✓,4.79,2.44,✓,2,·,·,,,,
UNG,C. AI-relevant: Energy (DC power proxy),1842,·,·,✓,-0.25,·,3.02,2.44,✓,1,·,·,,,,
BNO,C. AI-relevant: Energy (DC power proxy),1842,·,·,✓,2.14,✓,5.11,2.44,✓,1,·,·,,,,
JJC,C. AI-relevant: Industrial metals (hardware inputs),1842,·,·,✓,1.87,✓,2.04,2.44,·,1,·,·,,,,
PPLT,C. AI-relevant: Industrial metals (hardware inputs),1842,·,·,✓,4.59,✓,5.41,2.44,✓,1,·,·,,,,
PALL,C. AI-relevant: Industrial metals (hardware inputs),1842,·,·,✓,2.7,✓,3.7,2.44,✓,0,·,·,,,,
GLD,C. Confound: Precious metals (monetary),1842,·,·,✓,5.93,✓,5.94,2.44,✓,2,✓,·,post_bridge,2025-01-28,,
SLV,C. Confound: Precious metals (monetary),1842,·,·,✓,11.99,✓,12.1,2.44,✓,1,✓,·,post_bridge,2025-09-19,,
DBA,C. Placebo: Agriculture,1842,·,·,✓,1.42,·,2.94,2.44,✓,3,·,·,,,,
WEAT,C. Placebo: Agriculture,1842,·,·,✓,4.11,✓,4.52,2.44,✓,1,·,·,,,,
CORN,C. Placebo: Agriculture,1842,·,·,✓,2.42,✓,3.75,2.44,✓,2,·,·,,,,
SOYB,C. Placebo: Agriculture,1842,·,·,✓,2.72,✓,3.82,2.44,✓,2,·,✓,,,post_bridge,2020-11-10
COW,C. Placebo: Livestock,1842,·,·,✓,1.88,✓,2.95,2.44,✓,0,·,·,,,,
DBC,C. Benchmark: Broad commodity indices,1842,·,·,✓,3.32,✓,3.82,2.44,✓,3,·,✓,,,post_bridge,2022-01-18
GSG,C. Benchmark: Broad commodity indices,1842,·,·,✓,2.84,✓,5.13,2.44,✓,2,·,·,,,,
PDBC,C. Benchmark: Broad commodity indices,1842,·,·,✓,3.4,✓,3.97,2.44,✓,3,·,✓,,,post_bridge,2022-01-18
^IXIC,0. Index / Control,1842,·,·,✓,0.32,·,1.04,2.39,·,0,·,·,,,,
^SOX,0. Index / Control,1842,·,·,✓,2.15,✓,2.21,2.39,·,0,·,·,,,,
^GSPC,0. Index / Control,1842,·,·,✓,-0.1,·,1.35,2.39,·,0,·,·,,,,
